title;released;gf_score;metascore;genre;description;cover_art_url;graphics_pal;music_pal;gameplay_pal;total_pal;notes_pal_ntsc_j;name_variants;score_reasoning;description_es
Ristar;1995-02-16;4.18;n/a;Action -Platformer -2D;Ristar is a platform game developed and published by Sega for the Sega Genesis, which released worldwide in February 1995. A Sega Game Gear game of the same name and genre, Ristar, was also released, which shared similar themes, while possessing different level design and gameplay mechanics. The game stars an anthropomorphic cartoon star who uses his hands and long, stretchable arms to both move and combat enemies. Reception for the game has been generally positive, but the game's initial release was overshadowed due to the imminent ending of the Genesis's lifecycle and the succession of the Sega Saturn and other fifth generation video game consoles. While never receiving any sequels, Sega has re-released the game a number of times digitally and on Sega-themed compilations, including the Sega Forever line of releases for mobile devices. The character has additionally received various cameos in other Sega properties as well.;https://images.launchbox-app.com/3b50382b-a000-40f6-a1d2-a2aeea0d1d90.jpg;9;8;9;9;Plataformas muy elaborado, basado en exploración, precisión y los brazos extensibles del protagonista. Llegó tarde al ciclo de Mega Drive, pero se ha consolidado como un clásico muy querido.;Ristar;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Plataformas muy elaborado, basado en exploración, precisión y los brazos extensibles del protagonista. Llegó tarde al ciclo de Mega Drive, pero se ha consolidado como un clásico muy querido.;Ristar es un plataformas de Sega protagonizado por una estrella con brazos extensibles. Sus extremidades sirven para agarrar, atacar, lanzar objetos, balancearse y recorrer siete mundos coloridos con rutas secretas, fases extra y jefes de gran personalidad.
Rocket Knight Adventures;1993-08-05;4.17;n/a;Action - Platformer - 2D;Rocket Knight Adventures (ロケットナイトアドベンチャーズ Roketto Naito Adobenchāzu) is a 1993 side-scrolling platformer video game developed and published by Konami for the Sega Genesis. The game was released in North America on August 5, 1993, in Japan on August 6, 1993, and in Europe in 1993. Rocket Knight Adventures was designed by Nobuya Nakazato, designer of several titles in the Contra series such as The Alien Wars, Hard Corps and Shattered Soldier. Its protagonist is Sparkster, an opossum knight who fights an army of robots and pigs, many of whom are piloting various mechanical vehicles. Sparkster is armed with a sword that can project energy over a short distance and a rocket pack that allows him to fly;https://images.launchbox-app.com/4fbca98a-f0eb-43fe-acb1-1ced8eb72835.jpg;9;9;9;9;Plataformas de acción excelente: el jet pack, la espada, los jefes y la variedad de fases mantienen un ritmo muy alto y un control preciso.;Rocket Knight Adventures;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Plataformas de acción excelente: el jet pack, la espada, los jefes y la variedad de fases mantienen un ritmo muy alto y un control preciso.;Rocket Knight Adventures es un plataformas de acción de Konami protagonizado por Sparkster, una zarigüeya caballero equipada con espada y mochila propulsora. Puede cargar el propulsor para atacar en ocho direcciones, rebotar contra paredes y superar fases muy variadas con jefes ingeniosos.
Story of Thor;1994-12-08;4.17;n/a;Role-Playing - Action RPG;Beyond Oasis, known in Japan and Europe as The Story of Thor: A Successor of The Light, is an action-adventure game developed by Ancient and published by Sega for the Sega Genesis. The game has also been re-released in various emulated collections, such as the Virtual Console, Sonic's Ultimate Genesis Collection, and Sega Forever. A prequel to the game, The Legend of Oasis, was released for the Sega Saturn in 1996.;https://images.launchbox-app.com/82b6c5a9-27f9-4d3c-8346-e9c75b17489e.jpg;9;8;9;9;"Action RPG muy querido por unir exploración, puzles y combate directo sin volver el manejo pesado. Los espíritus elementales y las animaciones son sus grandes virtudes; su duración es relativamente breve.";"Story of Thor; Beyond Oasis";"Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Action RPG muy querido por unir exploración, puzles y combate directo sin volver el manejo pesado. Los espíritus elementales y las animaciones son sus grandes virtudes; su duración es relativamente breve.";Story of Thor es un action RPG desarrollado por Ancient para Mega Drive. Combina exploración, combate directo con espada, puzles y la invocación de espíritus elementales que amplían las posibilidades del protagonista.
Thunder Force IV;1992;4.16;n/a;Action - Shooter - Shoot-'Em-Up - Horizontal;Thunder Force IV, known in North America as Lightening Force: Quest for the Darkstar, is a shoot 'em up video game developed and published by Technosoft for the Mega Drive in 1992. It is the fourth installment in Technosoft's Thunder Force series, and the third and final one created for the Mega Drive. It was developed by the team at Technosoft that ported Devil's Crush to the Mega Drive rather than the team that developed the previous Thunder Force games. Like its predecessors, it is a horizontally scrolling shooter, but it also features extensive vertical scrolling with large playing fields.;https://images.launchbox-app.com/8498e656-2868-4c2f-a00b-4bf6045321b5.jpg;9;10;9;9;Uno de los shooters más admirados de Mega Drive: banda sonora potente, escenarios enormes, scroll multidireccional y acción muy intensa. Requiere aprender rutas y dominar una dificultad elevada.;"Thunder Force IV; Lightening Force; Thunder Force 4; TF4";Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: Uno de los shooters más admirados de Mega Drive: banda sonora potente, escenarios enormes, scroll multidireccional y acción muy intensa. Requiere aprender rutas y dominar una dificultad elevada.;Thunder Force IV es un shooter horizontal de Technosoft para Mega Drive. Destaca por sus escenarios extensos, desplazamiento multidireccional, arsenal potente y una banda sonora muy apreciada por los aficionados al género.
Landstalker;1993-10-29;4.16;n/a;Action Adventure - Open-World;Landstalker: The Treasures of King Nole (ランドストーカー 皇帝の財宝 Randosutōkā: Kōtei no Zaihō) is an action-adventure game that was developed by Climax Entertainment and released for the Sega Genesis in 1992 in Japan and 1993 elsewhere. A spinoff called Lady Stalker: Challenge from the Past was released in Japan for the SNES in 1995. The Sega Saturn game Dark Savior (produced by the same company) is considered its spiritual successor. The main characters from Landstalker, Nigel (Ryle in Japan and France, Niels in Germany) and Friday, reappear in the Dreamcast game Time Stalkers;https://images.launchbox-app.com/7821ef49-ee24-42ed-9a91-a8f7e66c34da.jpg;8;8;8;8;Aventura isométrica muy apreciada por sus puzles, exploración y personalidad. La perspectiva diagonal provoca saltos y orientaciones imprecisas, por lo que resulta menos cómoda que Story of Thor.;Landstalker;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Aventura isométrica muy apreciada por sus puzles, exploración y personalidad. La perspectiva diagonal provoca saltos y orientaciones imprecisas, por lo que resulta menos cómoda que Story of Thor.;Landstalker es una aventura de acción isométrica protagonizada por Nigel. Combina exploración, combates, puzles y plataformas en un mundo lleno de secretos, aunque su perspectiva diagonal hace que algunos saltos exijan precisión.
Shining Force;1993-07-01;4.11;n/a;Strategy - Turn-Based - Tactics;"Shining Force: The Legacy of Great Intention (シャイニング・フォース 神々の遺産 Shainingu Fōsu: Kamigami no Isan, lit. ""Shining Force: The Legacy of the Gods""), is a 1992 fantasy turn-based tactics role-playing video game for the Mega Drive/Genesis console. While primarily a traditional fantasy-themed game, it contains some science fiction elements";https://images.launchbox-app.com/3de72658-25ed-4cbf-af48-9859e9626990.jpg;7;6;7;7;Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Shining Force;Gráficos: presentación competente, aunque con limitaciones visibles. Música: música funcional, con algunos temas reconocibles. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Título irregular, con ideas interesantes pero limitaciones visibles en control, ritmo o realización.;Shining Force es un RPG táctico de fantasía para Mega Drive. Alterna exploración de pueblos y mazmorras con combates por turnos sobre cuadrícula, en los que el jugador dirige a un grupo de héroes y sus aliados.
Alien Soldier;2007-11-05;4.1;n/a;Action - Platformer - 2D;Alien Soldier is a side-scrolling run and gun video game developed by Treasure and published by Sega for the Mega Drive. Retail copies were released in Japan and PAL territories while in North America it was only available exclusively via the Sega Channel cable service. The story follows a powerful being named Epsilon-Eagle, who after being nearly killed becomes determined to avenge his near death and save his planet. The character has a variety of weapons and moves that the player must master to complete the game. Many gameplay ideas are borrowed from Treasure's earlier Mega Drive release, Gunstar Heroes(1993). However, Alien Soldier puts an emphasis on challenging boss fights with short and easy levels serving as downtime in-between;https://images.launchbox-app.com/73ba73fd-6a3d-4c10-8c81-38a717f4785a.jpg;9;9;8;9;Demostración extrema de acción: jefes casi continuos, numerosos movimientos y una presentación muy intensa. Excelente pero poco accesible por su control atípico y curva de aprendizaje.;Alien Soldier;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Demostración extrema de acción: jefes casi continuos, numerosos movimientos y una presentación muy intensa. Excelente pero poco accesible por su control atípico y curva de aprendizaje.;Alien Soldier es un frenético juego de acción de Treasure centrado en enfrentamientos contra jefes. Epsilon-Eagle dispone de numerosos movimientos y armas, con fases breves que conectan combates muy exigentes.
Dynamite Headdy;1994-08-04;4.09;n/a;Action - Platformer - 2D;"Dynamite Headdy is a platform video game developed by Treasure and published by Sega for the Sega Genesis in 1994. The game follows a puppet named Headdy in his efforts to stop an evil puppet king from taking over his world. Headdy can throw his head at enemies to defeat them and use it to pull himself to various areas and move objects. The player can find a wide variety of ""heads"" which act as power-ups that provide different effects and alter gameplay";https://images.launchbox-app.com/77fec80b-ed67-4850-8b5c-c687ad1a36e1.jpg;9;8;8;8;Plataformas creativo y visualmente exuberante, basado en lanzar y cambiar la cabeza del protagonista. Su imaginación es sobresaliente, aunque algunas mecánicas requieren adaptación.;Dynamite Headdy;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: jugabilidad sólida y accesible, con buen equilibrio general. Motivo global: Plataformas creativo y visualmente exuberante, basado en lanzar y cambiar la cabeza del protagonista. Su imaginación es sobresaliente, aunque algunas mecánicas requieren adaptación.;Dynamite Headdy es un plataformas de Treasure protagonizado por una marioneta que arroja su cabeza para atacar, agarrarse a elementos del escenario y activar poderes. Su diseño destaca por la imaginación visual y mecánica de sus fases.
Sonic the Hedgehog;1991-06-23;4.09;n/a;Action - Platformer - 2D;Sonic the Hedgehog is a platform game developed by Sonic Team and published by Sega for the Sega Genesis. The game follows Sonic, an anthropomorphic blue hedgehog with supersonic speed, as he journeys to stop the evil scientist Doctor Robotnik from conquering South Island. Robotnik has trapped the island's animal inhabitants inside robots and stolen the powerful Chaos Emeralds. Players guide Sonic through six zones filled with platforming challenges, loops, springs, and hazards while collecting golden rings for protection. The game's emphasis on speed and momentum-based gameplay revolutionized platformers. Sonic must navigate through Green Hill Zone, Marble Zone, Spring Yard Zone, Labyrinth Zone, Star Light Zone, and Scrap Brain Zone before confronting Robotnik in his Final Zone fortress.;https://images.launchbox-app.com//4f79f041-386a-4e1d-bc0b-790a3b95f462.jpg;9;9;9;9;El clásico que definió la identidad de Mega Drive: control basado en inercia, velocidad, rutas alternativas y una presentación que mantiene todo su encanto.;Sonic the Hedgehog;Gráficos: apartado visual sobresaliente para la plataforma. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: El clásico que definió la identidad de Mega Drive: control basado en inercia, velocidad, rutas alternativas y una presentación que mantiene todo su encanto.;Sonic the Hedgehog es el plataformas que definió la identidad de Mega Drive. Sonic recorre South Island a gran velocidad, aprovecha la inercia, recoge anillos y se enfrenta al Dr. Robotnik para liberar a los animales capturados.
ToeJam & Earl;1992-03-12;4.06;n/a;Action - General;ToeJam & Earl is an action game developed by Johnson Voorsanger Productions and published by Sega for the Sega Genesis console. Released in 1991, it centers on ToeJam and Earl—alien rappers who have crash-landed on Earth. As they attempt to escape the planet, players assume the role of either character and collect pieces of their wrecked spacecraft. ToeJam & Earl's design was heavily influenced by the role-playing video game Rogue, and took from it such features as the random generation of levels and items. It references and parodies 1980s and early 90s urban culture and is set to a funk soundtrack.;https://images.launchbox-app.com/66f9141e-9453-4091-be3b-13db4636b0b8.jpg;8;9;7;8;Propuesta de culto con exploración aleatoria, cooperativo, humor absurdo y música funk. Su ritmo pausado y los objetos aleatorios dividen opiniones.;ToeJam & Earl;Gráficos: buen uso de los recursos gráficos de Mega Drive. Música: composición y aprovechamiento sonoro especialmente destacados. Jugabilidad: mecánicas funcionales, aunque con cierta rigidez, repetición o dificultad irregular. Motivo global: Propuesta de culto con exploración aleatoria, cooperativo, humor absurdo y música funk. Su ritmo pausado y los objetos aleatorios dividen opiniones.;ToeJam & Earl es una aventura de culto con exploración aleatoria y cooperativo. Los dos alienígenas deben reunir las piezas de su nave en niveles generados de forma variable, usando objetos misteriosos y evitando peligros.
Streets of Rage 3;1994-03-17;4.06;n/a;Action - Beat-'Em-Up - 2D;Streets of Rage 3, known in Japan as Bare Knuckle III (ベア・ナックルIII Bea Nakkuru Surī), is a side-scrolling beat 'em up developed and published by Sega in 1994 for the Sega Genesis. It is the third and to-date, final installment of the Streets of Rage series. It was later released for the Japanese version of Sonic Gems Collection for the Nintendo GameCube and PlayStation 2, and for the Wii Virtual Console in September 2007. The game also appeared in Sonic's Ultimate Genesis Collection for Xbox 360 and PlayStation 3;https://images.launchbox-app.com/2b63e470-35b7-4bff-a94a-d281d9bd0179.jpg;10;8;10;9;El beat em up más completo de la saga por sus nuevas acciones y profundidad de combate. La edición PAL es notablemente más difícil: enemigos más duros, rápidos y agresivos que en la japonesa.;Streets of Rage 3;Gráficos: apartado visual sobresaliente para la plataforma. Música: banda sonora sólida y bien integrada. Jugabilidad: control preciso, respuesta inmediata y diseño muy bien ajustado. Motivo global: El beat em up más completo de la saga por sus nuevas acciones y profundidad de combate. La edición PAL es notablemente más difícil: enemigos más duros, rápidos y agresivos que en la japonesa.;Streets of Rage 3 es un beat em up de desplazamiento lateral con más movimientos, personajes y profundidad de combate que sus predecesores. La edición PAL es especialmente dura, con enemigos más agresivos y resistentes.
